59.809467,84.000877,84.851904,84.851904,84.851904,84.851904,84.851904,84.851904,84.851904,84.851904,
73.335381,96.354675,100.429658,100.429658,100.429658,100.429658,100.429658,100.429658,100.429658,100.429658,
76.725549,93.907214,98.816800,98.816800,98.816800,98.816800,98.816800,98.816800,98.816800,98.816800,
76.496760,89.460511,93.924479,93.924479,93.924479,93.924479,93.924479,93.924479,93.924479,93.924479,
75.002433,84.923409,88.618915,88.618915,88.618915,88.618915,88.618915,88.618915,88.618915,88.618915,
73.091694,80.571459,83.478496,83.478496,83.478496,83.478496,83.478496,83.478496,83.478496,83.478496,
71.070170,76.435789,78.608426,78.608426,78.608426,78.608426,78.608426,78.608426,78.608426,78.608426,
69.047144,72.511389,74.016709,74.016709,74.016709,74.016709,74.016709,74.016709,74.016709,74.016709,
67.060987,68.788327,69.692012,69.692012,69.692012,69.692012,69.692012,69.692012,69.692012,69.692012,
65.124481,65.256400,65.619753,65.619753,65.619753,65.619753,65.619753,65.619753,65.619753,65.619753,
63.241191,61.905816,61.785395,61.785395,61.785395,61.785395,61.785395,61.785395,61.785395,61.785395,
61.411387,58.727267,58.175078,58.175078,58.175078,58.175078,58.175078,58.175078,58.175078,58.175078,
59.634173,55.711920,54.775722,54.775722,54.775722,54.775722,54.775722,54.775722,54.775722,54.775722,
57.908263,52.851397,51.575000,51.575000,51.575000,51.575000,51.575000,51.575000,51.575000,51.575000,
56.232258,50.137746,48.561307,48.561307,48.561307,48.561307,48.561307,48.561307,48.561307,48.561307,
54.604743,47.563428,45.723714,45.723714,45.723714,45.723714,45.723714,45.723714,45.723714,45.723714,
53.024327,45.121287,43.051930,43.051930,43.051930,43.051930,43.051930,43.051930,43.051930,43.051930,
51.489651,42.804538,40.536268,40.536268,40.536268,40.536268,40.536268,40.536268,40.536268,40.536268,
49.999392,40.606743,38.167603,38.167603,38.167603,38.167603,38.167603,38.167603,38.167603,38.167603,
48.552265,38.521793,35.937347,35.937347,35.937347,35.937347,35.937347,35.937347,35.937347,35.937347,
47.147022,36.543895,33.837412,33.837412,33.837412,33.837412,33.837412,33.837412,33.837412,33.837412,
45.782451,34.667552,31.860184,31.860184,31.860184,31.860184,31.860184,31.860184,31.860184,31.860184,
44.457375,32.887549,29.998491,29.998491,29.998491,29.998491,29.998491,29.998491,29.998491,29.998491,
43.170650,31.198941,28.245582,28.245582,28.245582,28.245582,28.245582,28.245582,28.245582,28.245582,
41.921166,29.597033,26.595102,26.595102,26.595102,26.595102,26.595102,26.595102,26.595102,26.595102,
40.707846,28.077376,25.041065,25.041065,25.041065,25.041065,25.041065,25.041065,25.041065,25.041065,
39.529643,26.635746,23.577835,23.577835,23.577835,23.577835,23.577835,23.577835,23.577835,23.577835,
38.385541,25.268136,22.200106,22.200106,22.200106,22.200106,22.200106,22.200106,22.200106,22.200106,
37.274553,23.970745,20.902883,20.902883,20.902883,20.902883,20.902883,20.902883,20.902883,20.902883,
36.195719,22.739969,19.681460,19.681460,19.681460,19.681460,19.681460,19.681460,19.681460,19.681460,
35.148110,21.572387,18.531409,18.531409,18.531409,18.531409,18.531409,18.531409,18.531409,18.531409,
34.130822,20.464755,17.448559,17.448559,17.448559,17.448559,17.448559,17.448559,17.448559,17.448559,
33.142978,19.413994,16.428984,16.428984,16.428984,16.428984,16.428984,16.428984,16.428984,16.428984,
