1023.79082354330000,1305.450516463110000,1305.450516463110000,1305.450516463110000,1305.450516463110000,1305.450516463110000,1305.450516463110000,1305.450516463110000,1305.450516463110000,1305.450516463110000
1009.903614757890000,1256.081040695520000,1256.081040695520000,1256.081040695520000,1256.081040695520000,1256.081040695520000,1256.081040695520000,1256.081040695520000,1256.081040695520000,1256.081040695520000
1018.247308739810000,1242.159378055430000,1242.159378055430000,1242.159378055430000,1242.159378055430000,1242.159378055430000,1242.159378055430000,1242.159378055430000,1242.159378055430000,1242.159378055430000
1034.288053362010000,1246.344423672380000,1246.344423672380000,1246.344423672380000,1246.344423672380000,1246.344423672380000,1246.344423672380000,1246.344423672380000,1246.344423672380000,1246.344423672380000
1051.397591734920000,1258.674040226580000,1258.674040226580000,1258.674040226580000,1258.674040226580000,1258.674040226580000,1258.674040226580000,1258.674040226580000,1258.674040226580000,1258.674040226580000
1066.891942886700000,1273.645871769720000,1273.645871769720000,1273.645871769720000,1273.645871769720000,1273.645871769720000,1273.645871769720000,1273.645871769720000,1273.645871769720000,1273.645871769720000
1079.962439644840000,1288.402300372920000,1288.402300372920000,1288.402300372920000,1288.402300372920000,1288.402300372920000,1288.402300372920000,1288.402300372920000,1288.402300372920000,1288.402300372920000
1090.623338245350000,1301.614453084710000,1301.614453084710000,1301.614453084710000,1301.614453084710000,1301.614453084710000,1301.614453084710000,1301.614453084710000,1301.614453084710000,1301.614453084710000
1099.196424758460000,1312.805548196110000,1312.805548196110000,1312.805548196110000,1312.805548196110000,1312.805548196110000,1312.805548196110000,1312.805548196110000,1312.805548196110000,1312.805548196110000
1106.073048150950000,1321.947939813150000,1321.947939813150000,1321.947939813150000,1321.947939813150000,1321.947939813150000,1321.947939813150000,1321.947939813150000,1321.947939813150000,1321.947939813150000
1111.615131457280000,1329.228852977270000,1329.228852977270000,1329.228852977270000,1329.228852977270000,1329.228852977270000,1329.228852977270000,1329.228852977270000,1329.228852977270000,1329.228852977270000
1116.122705400140000,1334.918711200850000,1334.918711200850000,1334.918711200850000,1334.918711200850000,1334.918711200850000,1334.918711200850000,1334.918711200850000,1334.918711200850000,1334.918711200850000
1119.831004088070000,1339.300801506600000,1339.300801506600000,1339.300801506600000,1339.300801506600000,1339.300801506600000,1339.300801506600000,1339.300801506600000,1339.300801506600000,1339.300801506600000
1122.918942989570000,1342.636791410930000,1342.636791410930000,1342.636791410930000,1342.636791410930000,1342.636791410930000,1342.636791410930000,1342.636791410930000,1342.636791410930000,1342.636791410930000
1125.520523391180000,1345.152553395290000,1345.152553395290000,1345.152553395290000,1345.152553395290000,1345.152553395290000,1345.152553395290000,1345.152553395290000,1345.152553395290000,1345.152553395290000
1127.735594376590000,1347.034968322320000,1347.034968322320000,1347.034968322320000,1347.034968322320000,1347.034968322320000,1347.034968322320000,1347.034968322320000,1347.034968322320000,1347.034968322320000
1129.638754111050000,1348.434227668020000,1348.434227668020000,1348.434227668020000,1348.434227668020000,1348.434227668020000,1348.434227668020000,1348.434227668020000,1348.434227668020000,1348.434227668020000
1131.286226031670000,1349.468508198700000,1349.468508198700000,1349.468508198700000,1349.468508198700000,1349.468508198700000,1349.468508198700000,1349.468508198700000,1349.468508198700000,1349.468508198700000
1132.720959073340000,1350.229310283450000,1350.229310283450000,1350.229310283450000,1350.229310283450000,1350.229310283450000,1350.229310283450000,1350.229310283450000,1350.229310283450000,1350.229310283450000
1133.976314991320000,1350.786587745740000,1350.786587745740000,1350.786587745740000,1350.786587745740000,1350.786587745740000,1350.786587745740000,1350.786587745740000,1350.786587745740000,1350.786587745740000
1135.078691891750000,1351.193277676390000,1351.193277676390000,1351.193277676390000,1351.193277676390000,1351.193277676390000,1351.193277676390000,1351.193277676390000,1351.193277676390000,1351.193277676390000
1136.049374218880000,1351.489103904820000,1351.489103904820000,1351.489103904820000,1351.489103904820000,1351.489103904820000,1351.489103904820000,1351.489103904820000,1351.489103904820000,1351.489103904820000
1136.905833148750000,1351.703665485270000,1351.703665485270000,1351.703665485270000,1351.703665485270000,1351.703665485270000,1351.703665485270000,1351.703665485270000,1351.703665485270000,1351.703665485270000
1137.662642543360000,1351.858885471290000,1351.858885471290000,1351.858885471290000,1351.858885471290000,1351.858885471290000,1351.858885471290000,1351.858885471290000,1351.858885471290000,1351.858885471290000
1138.332128661700000,1351.970918084990000,1351.970918084990000,1351.970918084990000,1351.970918084990000,1351.970918084990000,1351.970918084990000,1351.970918084990000,1351.970918084990000,1351.970918084990000
1138.924836469160000,1352.051613579670000,1352.051613579670000,1352.051613579670000,1352.051613579670000,1352.051613579670000,1352.051613579670000,1352.051613579670000,1352.051613579670000,1352.051613579670000
1139.449869751850000,1352.109630949400000,1352.109630949400000,1352.109630949400000,1352.109630949400000,1352.109630949400000,1352.109630949400000,1352.109630949400000,1352.109630949400000,1352.109630949400000
1139.915144133630000,1352.151275503060000,1352.151275503060000,1352.151275503060000,1352.151275503060000,1352.151275503060000,1352.151275503060000,1352.151275503060000,1352.151275503060000,1352.151275503060000
1140.327579537800000,1352.181124585320000,1352.181124585320000,1352.181124585320000,1352.181124585320000,1352.181124585320000,1352.181124585320000,1352.181124585320000,1352.181124585320000,1352.181124585320000
1140.693250051400000,1352.202492051090000,1352.202492051090000,1352.202492051090000,1352.202492051090000,1352.202492051090000,1352.202492051090000,1352.202492051090000,1352.202492051090000,1352.202492051090000
1141.017503340100000,1352.217771163800000,1352.217771163800000,1352.217771163800000,1352.217771163800000,1352.217771163800000,1352.217771163800000,1352.217771163800000,1352.217771163800000,1352.217771163800000
